epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,58.3546,0.55591,0.80779,0.8549,0.77613,0.93663,0.995,0.846,0.66356,2.05263,0.80083,0.00104687,0.00104687,0.00104687
37,59.5447,0.53896,0.80686,0.84682,0.77613,0.93663,0.995,0.846,0.66356,2.05263,0.80083,0.00107234,0.00107234,0.00107234
38,60.898,0.57754,1.05053,0.93183,0.77613,0.93663,0.995,0.846,0.66356,2.05263,0.80083,0.00109759,0.00109759,0.00109759
39,62.4442,0.6444,0.85296,0.99504,0.76813,0.83624,0.995,0.85413,0.61453,1.98391,0.77811,0.00112263,0.00112263,0.00112263
40,63.7224,0.52413,0.79728,0.84342,0.76813,0.83624,0.995,0.85413,0.61453,1.98391,0.77811,0.00114744,0.00114744,0.00114744
41,64.9658,0.67143,0.9939,0.86439,0.76813,0.83624,0.995,0.85413,0.61453,1.98391,0.77811,0.00117203,0.00117203,0.00117203
42,66.3523,0.63049,0.77205,0.86465,0.76951,0.97271,0.995,0.82375,0.68203,1.84914,0.79155,0.00119641,0.00119641,0.00119641
43,67.8151,0.68163,1.02279,0.90389,0.76951,0.97271,0.995,0.82375,0.68203,1.84914,0.79155,0.00122056,0.00122056,0.00122056
44,69.0981,0.65018,0.75533,0.88134,0.76951,0.97271,0.995,0.82375,0.68203,1.84914,0.79155,0.00124449,0.00124449,0.00124449
45,70.3463,0.56684,1.47493,0.83708,0.76951,0.97271,0.995,0.82375,0.68203,1.84914,0.79155,0.00126821,0.00126821,0.00126821
46,71.7923,0.56337,0.77965,0.85845,0.76976,0.99878,0.995,0.82375,0.8087,1.70854,0.80884,0.0012917,0.0012917,0.0012917
47,73.2084,0.5461,0.82663,0.88785,0.76976,0.99878,0.995,0.82375,0.8087,1.70854,0.80884,0.00131497,0.00131497,0.00131497
48,74.4622,0.64056,0.9088,0.92504,0.76976,0.99878,0.995,0.82375,0.8087,1.70854,0.80884,0.00133803,0.00133803,0.00133803
49,75.8909,0.63488,0.8885,0.87763,0.76976,0.99878,0.995,0.82375,0.8087,1.70854,0.80884,0.00136086,0.00136086,0.00136086
50,77.2783,0.59769,0.85107,0.94022,0.7724,0.96111,0.995,0.846,0.59733,1.77171,0.76415,0.00138347,0.00138347,0.00138347
51,79.0481,0.67294,0.78702,0.89242,0.7724,0.96111,0.995,0.846,0.59733,1.77171,0.76415,0.00139195,0.00139195,0.00139195
52,80.5131,0.53943,0.72816,0.91361,0.7724,0.96111,0.995,0.846,0.59733,1.77171,0.76415,0.00138644,0.00138644,0.00138644
53,82.0083,0.61812,0.74792,0.83852,0.7724,0.96111,0.995,0.846,0.59733,1.77171,0.76415,0.00138094,0.00138094,0.00138094
54,83.4399,0.57965,0.75404,0.93553,0.78526,0.8932,0.995,0.85413,0.4543,1.64062,0.74016,0.00137544,0.00137544,0.00137544
55,85.0636,0.6313,0.75043,0.88115,0.78526,0.8932,0.995,0.85413,0.4543,1.64062,0.74016,0.00136994,0.00136994,0.00136994
