epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.892,5.86242,4.15767,4.2486,0,0,0,0,6.15391,4.35442,4.16062,3.334e-05,3.334e-05,3.334e-05
2,3.44769,5.73491,4.10058,4.14674,0,0,0,0,6.15485,4.35419,4.16248,6.68467e-05,6.68467e-05,6.68467e-05
3,4.87521,6.37662,4.2358,4.30402,0,0,0,0,6.15558,4.35412,4.16384,8.05494e-05,8.05494e-05,8.05494e-05
4,6.16216,5.65159,4.19001,4.2667,0,0,0,0,6.15632,4.354,4.16528,7.44482e-05,7.44482e-05,7.44482e-05
5,7.41368,5.8758,4.24445,4.26564,0,0,0,0,6.15761,4.35406,4.16763,4.8543e-05,4.8543e-05,4.8543e-05
