epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63326,1.27223,3.45381,1.01059,0.00712,1,0.03088,0.02241,0.84667,3.43001,0.81528,1.667e-05,1.667e-05,1.667e-05
2,9.08964,1.68166,3.47597,1.11309,0.00698,1,0.03364,0.02452,0.87828,3.43449,0.82229,4.9845e-05,4.9845e-05,4.9845e-05
3,10.2467,1.36133,3.50817,1.01075,0.00726,1,0.0366,0.0284,0.75003,3.38308,0.82232,8.27999e-05,8.27999e-05,8.27999e-05
4,11.5228,1.06314,3.42564,0.98208,0.00708,1,0.02799,0.02211,0.75671,3.38787,0.82483,0.000115535,0.000115535,0.000115535
